city,lat,lon
Adelaide,-34.92866,138.59863
Brisbane,-27.46794,153.02809
Cairns,-16.92304,145.76625
Canberra,-35.28346,149.12807
Darwin,-12.46113,130.84185
Devonport,-41.180557,146.346390
Hobart,-42.880554,147.324997
Launceston,-41.4385,147.1403
Sunshine Coast,-26.6500,153.066666
Melbourne,-37.8136,144.963
