Suburb,Month,HourlyPedestrians,Path
Kensington,2024-12,80.62297496,102
Melbourne,2024-01,421.7904809,102
Melbourne,2024-02,480.3030165,102
Melbourne,2024-03,497.3191495,102
Melbourne,2024-04,465.493602,102
Melbourne,2024-05,423.4390958,102
Melbourne,2024-06,391.2474658,102
Melbourne,2024-07,399.1296167,102
Melbourne,2024-08,430.6878209,102
Melbourne,2024-09,400.7694666,102
Melbourne,2024-10,427.2322837,102
Melbourne,2024-11,426.3993021,102
Melbourne,2024-12,443.4807306,102
North Melbourne,2024-01,100.6858491,102
North Melbourne,2024-02,118.8415842,102
North Melbourne,2024-03,115.7159353,102
North Melbourne,2024-04,120.5981625,102
North Melbourne,2024-05,118.2830366,102
North Melbourne,2024-06,104.3068238,102
North Melbourne,2024-07,111.1260028,102
North Melbourne,2024-08,117.173389,102
North Melbourne,2024-09,109.8371304,102
North Melbourne,2024-10,121.8961161,102
North Melbourne,2024-11,115.4609827,102
North Melbourne,2024-12,107.1773445,102
South Wharf,2024-01,643.1075269,102
South Wharf,2024-02,606.3606322,102
South Wharf,2024-03,587.9905914,102
South Wharf,2024-04,621.7819444,102
South Wharf,2024-05,624.2005384,102
South Wharf,2024-06,669.7905308,102
South Wharf,2024-07,563.0540541,102
South Wharf,2024-08,617.7479784,102
South Wharf,2024-09,546.6341463,102
South Wharf,2024-10,793.7302726,102
South Wharf,2024-11,775.9928264,102
South Wharf,2024-12,864.405914,102
Southbank,2024-01,870.5104712,102
Southbank,2024-02,870.2688839,102
Southbank,2024-03,911.4945355,102
Southbank,2024-04,765.5930563,102
Southbank,2024-05,646.1463047,102
Southbank,2024-06,662.8273465,102
Southbank,2024-07,659.622588,102
Southbank,2024-08,739.8070575,102
Southbank,2024-09,701.8526441,102
Southbank,2024-10,791.7556306,102
Southbank,2024-11,801.7484832,102
Southbank,2024-12,882.9620546,102
West Melbourne,2024-08,64.55703325,102
West Melbourne,2024-09,70.70575221,102
West Melbourne,2024-10,80.13985206,102
West Melbourne,2024-11,76.3186008,102
West Melbourne,2024-12,72.84084699,102
