Name,Type,SubType,Suburb,Rating,PriceLevel,RankingPosition,Address,Latitude,Longitude,NumberOfReviews
Conservatory,Community Use,Public Buildings,East Melbourne,,,,,-37.81400213,144.9785597,
Freshwater Place,Mixed Use,Retail/Office/Residential/Carpark,Southbank,,,,,-37.82197455,144.9624614,
Collins Street Baptist Church,Place of Worship,Church,Melbourne,,,,,-37.81470119,144.9680725,
St Thomas Aquinas Church,Place of Worship,Church,South Yarra,,,,,-37.83530769,144.9768091,
Melbourne Visitor Booth,Community Use,Visitor Centre,Melbourne,,,,,-37.81395251,144.9644259,
Powlett Reserve,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),East Melbourne,,,,,-37.81169299,144.9872757,
Carlton Primary School,Education Centre,Primary Schools,Carlton,,,,,-37.79590798,144.9701473,
State Theatre,Place Of Assembly,Theatre Live,Southbank,,,,,-37.82128063,144.9684696,
University of Melbourne (VCA and Music),Education Centre,Tertiary (University),Southbank,,,,,-37.82411377,144.9693325,
St Martins Youth Arts Centre,Place Of Assembly,Theatre Live,South Yarra,,,,,-37.83524295,144.9811422,
Australian Broadcasting Corporation (ABC),Office,Office,Southbank,,,,,-37.82381332,144.9665514,
IMAX Melbourne,Place Of Assembly,Cinema,Carlton,,,,,-37.80343156,144.9706399,
Richmond Railway Station (Richmond) - Train stop,Transport,Railway Station,Richmond,,,,,-37.82389927,144.9894008,
Victorian Insitute of Forensic Medicine,Office,Office,Southbank,,,,,-37.82469241,144.9649791,
Parliament Railway Station,Transport,Railway Station,East Melbourne,,,,,-37.81215728,144.973742,
Showgrounds Railway Station (Flemington),Transport,Railway Station,Flemington,,,,,-37.78346512,144.9149026,
Alfred Hospital,Health Services,Public Hospital,Melbourne,,,,,-37.84626312,144.9817863,
Comedy Theatre,Place Of Assembly,Theatre Live,Melbourne,,,,,-37.81020539,144.9701331,
La Mama Theatre,Place Of Assembly,Theatre Live,Carlton,,,,,-37.7991305,144.9676695,
Forum Theatre,Place Of Assembly,Theatre Live,Melbourne,,,,,-37.81648541,144.9693866,
Royal Dental Hospital,Health Services,Public Hospital,Melbourne,,,,,-37.79950659,144.9645268,
Webb Bridge,Transport,Bridge,Docklands,,,,,-37.82320524,144.947291,
David Jones,Retail,Department Store,Melbourne,,,,,-37.81331273,144.9643735,
