name,rankingPosition,priceLevel,category,rating,address,Latitude,Longitude,numberOfReviews
MoVida Aqui,81,$$ - $$$,restaurant,4.5,"Nab Building, 1 500 Bourke St NAB Building, Melbourne, Victoria 3000 Australia",-37.8152622,144.9589353,752
Cicciolina,62,$$ - $$$,restaurant,4.5,"130 Acland St, Melbourne, Victoria 3182 Australia",-37.8685591,144.9800192,375
Movida Bar de Tapas,72,$$ - $$$,restaurant,4.5,"1 Hosier Lane, Melbourne, Victoria 3000 Australia",-37.8167338,144.9691879,2760
The Sherlock Holmes,64,$$ - $$$,restaurant,4.5,"415 Collins St, Melbourne, Victoria 3000 Australia",-37.8173653,144.9608277,344
Rare Steakhouse Downtown,60,$$ - $$$,restaurant,4.5,"42-44 King St, Melbourne, Victoria 3000 Australia",-37.8191552,144.9572031,516
Rice Paper Scissors,6,$$ - $$$,restaurant,4.5,"15 Hardware Lane, Melbourne, Victoria 3000 Australia",-37.8142828,144.9614027,2701
Ganache Chocolate,87,$$ - $$$,restaurant,4.5,"245 Collins St, Melbourne, Victoria 3000 Australia",-37.8159474,144.9657181,260
Flower Drum,42,$$$$,restaurant,4.5,"17 Market Lane, Melbourne, Victoria 3000 Australia",-37.8119154,144.9691713,1367
Rare Steakhouse Uptown,40,$$ - $$$,restaurant,4.5,"61 Little Collins St Shop 6, Melbourne, Victoria 3000 Australia",-37.8129822,144.9716921,755
Manchester Press,84,$$ - $$$,restaurant,4.5,"8 Rankins Lane, Melbourne, Victoria 3000 Australia",-37.8138885,144.9621516,500
Caterina's Cucina E Bar,85,$$ - $$$,restaurant,5,"221 Queen St, Melbourne, Victoria 3000 Australia",-37.8134202,144.9597956,111
Delhi Streets Indian Street Food,37,$,restaurant,4.5,"22 Katherine Pl, Melbourne, Victoria 3000 Australia",-37.819841,144.956474,262
Amiconi,71,$$ - $$$,restaurant,4.5,"359 Victoria St Locality is West Melbourne, Melbourne, Victoria 3003 Australia",-37.8053936,144.9495793,181
La Luna Bistro,69,$$ - $$$,restaurant,4.5,"320 Rathdowne St Carlton, North, Melbourne, Victoria 3054 Australia",-37.7910977,144.9719126,384
pastuso,78,$$ - $$$,restaurant,4.5,"19 Acdc Lane Off Flinders Lane Between Collins St and Exhibition St, Melbourne, Victoria 3000 Australia",-37.8158817,144.9710089,857
Brunetti Classico - Carlton,79,$$ - $$$,restaurant,4.5,"380 Lygon St 380 Lygon St, Carlton Vic, Melbourne, Victoria 3053 Australia",-37.7981335,144.9677286,3247
